case_id,t_model,t_cap,Longitude,Latitude
3028710,GE1.5-77,1500,-124.068687,46.794094
3028711,GE1.5-77,1500,-124.066582,46.793896
3028712,GE1.5-77,1500,-124.064682,46.792496
3028713,GE1.5-77,1500,-124.062088,46.791294
3072509,SI.250,250,-122.80687,44.867569
3072859,29-STALL-225,225,-122.679672,38.15757
3092710,V136-3.6,3600,-122.669838,46.754021
3092602,V136-3.6,3600,-122.667145,46.751923
3092694,V136-3.6,3600,-122.661018,46.751606
3093953,V136-3.6,3600,-122.657883,46.748943
3095341,V136-3.6,3600,-122.652885,46.747486
3093595,V136-3.6,3600,-122.637383,46.740673
3095340,V136-3.6,3600,-122.635384,46.737484
3095339,V136-3.6,3600,-122.631584,46.734974
3094131,V136-3.6,3600,-122.628983,46.732895
3095532,V136-3.6,3600,-122.626282,46.730225
3094180,V136-3.6,3600,-122.622887,46.728153
3093641,V136-3.6,3600,-122.620186,46.725075
3094573,V136-3.6,3600,-122.614883,46.725334
3094076,V136-3.6,3600,-122.611687,46.723286
3094320,V136-3.6,3600,-122.606384,46.722004
3094732,V136-3.6,3600,-122.602585,46.718765
3094767,V136-3.6,3600,-122.599983,46.713573
3094657,V136-3.6,3600,-122.593384,46.713074
3095159,V136-3.6,3600,-122.589287,46.712406
3093942,V136-3.6,3600,-122.584785,46.710785
3094954,V136-3.6,3600,-122.582382,46.704296
3093666,V136-3.6,3600,-122.579384,46.702156
3095092,V136-3.6,3600,-122.573883,46.702576
3095338,V136-3.6,3600,-122.570389,46.704403
3094269,V136-3.6,3600,-122.562485,46.706623
3093805,V136-3.6,3600,-122.559288,46.704243
3095337,V136-3.6,3600,-122.551788,46.701305
3094224,V136-3.6,3600,-122.547882,46.698166
3093719,V136-3.6,3600,-122.543884,46.697723
3094724,V136-3.6,3600,-122.540085,46.696766
3094671,V136-3.6,3600,-122.535683,46.695404
3094217,V136-3.6,3600,-122.530388,46.695393
3094577,V136-3.6,3600,-122.521782,46.696064
3094209,V136-3.6,3600,-122.517487,46.691433
3095579,V136-3.6,3600,-122.513489,46.689865
3093839,V136-3.6,3600,-122.507385,46.687485
3094181,V136-3.6,3600,-122.503983,46.685745
3094259,V136-3.6,3600,-122.499489,46.685093
3044244,,0,-122.258682,47.927795
3040605,GE1.5-77,1500,-122.193886,40.111195
3048446,GE1.85-82.5,1850,-122.092079,38.233505
3040085,GE1.5-77,1500,-122.089287,38.232296
3040412,GE1.5-77,1500,-121.935188,38.687595
3016928,GE1.5-77,1500,-121.882988,38.144096
3016934,GE1.5-77,1500,-121.879189,38.157295
3016930,GE1.5-77,1500,-121.878586,38.155296
3016978,GE1.5-77,1500,-121.878586,38.142895
3016991,GE1.5-77,1500,-121.878586,38.180393
3016998,GE1.5-77,1500,-121.878189,38.174397
3017006,GE1.5-77,1500,-121.877991,38.153194
3016925,GE1.5-77,1500,-121.877884,38.151196
3016983,GE1.5-77,1500,-121.877785,38.141594
3016986,GE1.5-77,1500,-121.87709,38.178795
3016992,GE1.5-77,1500,-121.876785,38.172695
3016979,GE1.5-77,1500,-121.876289,38.139793
3016980,GE1.5-77,1500,-121.876083,38.137894
3017034,GE1.5-77,1500,-121.875984,38.159294
3016993,GE1.5-77,1500,-121.875488,38.170395
3029496,MM92,2000,-121.874985,38.189896
3017003,GE1.5-77,1500,-121.874687,38.165195
3071164,MM92,2000,-121.874413,38.187416
3016941,GE1.5-77,1500,-121.87439,38.136696
3017032,GE1.5-77,1500,-121.873993,38.168198
3017009,GE1.5-77,1500,-121.873688,38.163395
3043783,MM92,2050,-121.872688,38.145294
3016943,GE1.5-77,1500,-121.872688,38.157894
3016926,GE1.5-77,1500,-121.872284,38.156296
3028675,MM92,2000,-121.872086,38.196896
3028676,MM92,2000,-121.87159,38.194695
3016999,GE1.5-77,1500,-121.87149,38.154396
3043788,MM92,2050,-121.871185,38.143295
3016977,GE1.5-77,1500,-121.870789,38.152096
3017002,GE1.5-77,1500,-121.869591,38.178894
3028677,MM92,2000,-121.869484,38.192894
3016944,GE1.5-77,1500,-121.868088,38.158295
3017008,GE1.5-77,1500,-121.867584,38.177494
3043717,MM92,2050,-121.866684,38.128197
3029497,MM92,2000,-121.866684,38.191093
3016994,GE1.5-77,1500,-121.866684,38.168896
3017004,GE1.5-77,1500,-121.866287,38.176094
3016927,GE1.5-77,1500,-121.86599,38.155396
3017000,GE1.5-77,1500,-121.865891,38.167397
3043764,MM92,2050,-121.865089,38.141193
3043655,MM92,2050,-121.864883,38.123795
3016945,GE1.5-77,1500,-121.864288,38.153595
3043769,MM92,2050,-121.86409,38.137394
3043762,MM92,2050,-121.86409,38.143795
3043721,MM92,2050,-121.863686,38.126293
3017033,GE1.5-77,1500,-121.863091,38.165794
3017007,GE1.5-77,1500,-121.863091,38.174694
3028678,MM92,2000,-121.862984,38.188793
3043766,MM92,2050,-121.862785,38.139793
3017001,GE1.5-77,1500,-121.862083,38.164097
3016997,GE1.5-77,1500,-121.861885,38.173294
3043757,MM92,2050,-121.861687,38.121593
3016924,GE1.5-77,1500,-121.860985,38.153294
3041009,MM92,2050,-121.860786,38.181995
3016982,GE1.5-77,1500,-121.860687,38.116894
3028679,MM92,2000,-121.860588,38.187195
3016990,GE1.5-77,1500,-121.86039,38.148193
3043634,MM92,2050,-121.860184,38.129795
3016970,GE1.5-77,1500,-121.860085,38.147095
3017005,GE1.5-77,1500,-121.859787,38.171993
3016929,GE1.5-77,1500,-121.859589,38.159195
3016932,GE1.5-77,1500,-121.85849,38.158096
3043737,MM92,2050,-121.858284,38.124695
3043792,MM92,2050,-121.858086,38.143295
3028680,MM92,2000,-121.858086,38.185696
3016995,GE1.5-77,1500,-121.857788,38.171295
3043770,MM92,2050,-121.857384,38.136196
3016933,GE1.5-77,1500,-121.857285,38.156895
3016989,GE1.5-77,1500,-121.857185,38.108196
3041010,MM92,2050,-121.856888,38.181995
3043713,MM92,2050,-121.856689,38.120895
3016959,GE1.5-77,1500,-121.856384,38.116196
3017011,GE1.5-77,1500,-121.856285,38.147396
3043763,MM92,2050,-121.855888,38.138496
3043645,MM92,2050,-121.855583,38.128395
3016938,GE1.5-77,1500,-121.855286,38.169994
3043740,MM92,2050,-121.854988,38.140995
3043804,MM92,2050,-121.854988,38.179794
3043707,MM92,2050,-121.854889,38.123695
3016962,GE1.5-77,1500,-121.854286,38.115395
3016946,GE1.5-77,1500,-121.85379,38.106693
3016984,GE1.5-77,1500,-121.85379,38.107994
3017010,GE1.5-77,1500,-121.853485,38.153397
3041012,MM92,2050,-121.853386,38.175995
3016985,GE1.5-77,1500,-121.852989,38.151997
3016960,GE1.5-77,1500,-121.852684,38.114697
3043790,MM92,2050,-121.851784,38.145893
3041011,MM92,2050,-121.851685,38.178196
3016961,GE1.5-77,1500,-121.851486,38.113594
3043735,MM92,2050,-121.850784,38.127193
3016996,GE1.5-77,1500,-121.850784,38.112396
3041013,MM92,2050,-121.850487,38.174595
3043778,MM92,2050,-121.850487,38.143494
3016976,GE1.5-77,1500,-121.850189,38.169796
3040552,SWT-2.3-93,2300,-121.85009,38.103794
3016939,GE1.5-77,1500,-121.849586,38.166794
3016931,GE1.5-77,1500,-121.849289,38.168194
3040473,SWT-2.3-93,2300,-121.84919,38.100494
3043772,MM92,2050,-121.848885,38.150993
