Permit_Address,Street_Name,Permit_ZipCode,Applicant,Permit_Purpose,Permit_Approval_Date,Permit_End_Date,Latitude,Longitude
800 TARAVAL ST,TARAVAL ST,94116,Gold Mirror Italian Restaurant,Shared Spaces,9/9/2024,3/15/2025,37.7432122779401,-122.474808328086
1434 18TH ST,18TH ST,94107,Cracked & Battered,Shared Spaces,9/8/2023,3/15/2025,37.7626679956788,-122.397298763633
1977 UNION ST,UNION ST,94123,The Blue Light,Shared Spaces,9/6/2024,3/15/2025,37.7974495841965,-122.431662948571
1182 VALENCIA ST,VALENCIA ST,94110,Sanguchon,Shared Spaces,9/6/2024,3/15/2025,37.7539909550303,-122.420908997541
799 HAIGHT ST,HAIGHT ST,94117,"Pas Normal Studios, Inc.",Shared Spaces,9/24/2024,3/15/2025,37.7713851278382,-122.435125083102
498 SANCHEZ ST,SANCHEZ ST,94114,Le Marais Bakery & Bistro,Shared Spaces,9/24/2024,3/15/2025,37.7612614748348,-122.430846751039
2336 CHESTNUT ST,CHESTNUT ST,94123,DELILAH'S LOW PROOF COCKTAIL & WINE BAR,Shared Spaces,9/23/2024,3/15/2025,37.8002037583119,-122.441932312492
845 BEACH ST,BEACH ST,94109,Square Pie Guys - At the Square,Shared Spaces,9/20/2024,3/15/2025,37.8058579117631,-122.422925181977
163 WEST PORTAL AVE,WEST PORTAL AVE,94127,GEORGES,Shared Spaces,9/20/2024,3/15/2025,37.7390285201925,-122.467519686598
2101 SUTTER ST,STEINER ST,94115,"J&H Breakfastology, Inc DBA Sweet Maple Coffee Shop",Shared Spaces,9/20/2024,3/15/2025,37.7860784324881,-122.435172946665
757 BEACH ST,BEACH ST,,Unlimited Biking San Francisco LLC,Shared Spaces,9/15/2023,3/15/2025,37.8064248809365,-122.421363376754
2121 MISSION ST,MISSION ST,94110,Abanico Coffee Roasters,Shared Spaces,9/12/2024,3/15/2025,37.7631243337843,-122.419301351762
2765 HYDE ST,BEACH ST,94109,BUENA VISTA CAFÉ,Shared Spaces,9/12/2023,3/15/2025,37.806451635291,-122.42078493776
370 GROVE ST,GROVE ST,94102,PhonoBar,Shared Spaces,9/11/2024,3/15/2025,37.7780139856629,-122.422465016808
2457 NORIEGA ST,NORIEGA ST,94122,Fire Fly Sports Bar,Shared Spaces,8/9/2024,3/15/2025,37.7534771383041,-122.490217767827
