Latitude,Longitude,Size
37.94499,-86.78777,1
35.447778,-119.26,1
21.313495,-158.113794,1
21.323561,-158.108519,2
38.84617,-91.949021,2
43.648333,-96.224444,10
38.957044,-95.253123,26
29.7605872345123,-95.3704583468991,29
29.75894,-95.37096,30
30.10846,-90.89677,41
32.228549,-84.093738,96
35.462533,-100.396697,118
60.696944,-151.379166,127
40.0724859360629,-74.8759070000299,146
40.669608,-76.380716,154
35.03211,-117.34764,161
40.146017,-120.124045,174
39.744228,-104.9867131,248
35,-114,261
32.27585,-111.01068,270
37.799367,-81.944258,325
42.5831,-89.0292,328
34.157461,-79.571356,332
43.66108,-72.9926,337
35.56296,-89.64792,360
42.56519,-83.03771,364
46.80891,-100.7861,377
39.298528,-85.214528,388
32.2925,-88.7461,400
41.657733,-111.843444,400
36.029533,-88.808073,411
40.94284,-87.15426,421
46.687926,-123.736804,438
35.284716,-101.730177,446
46.28221,-96.07241,447
42.7642,-82.4719,449
36.2784,-119.80047,469
38.3592,-76.9767,471
40.024535,-105.027726,473
29.7609148629273,-95.3699581201572,487
31.99747,-102.07785,490
47.50473,-122.78081,497
45.01368,-84.67351,527
38.39,-86.93,536
40.74315,-81.39866,536
37.00249,-89.16794,545
41.4947,-88.125,547
37.72742,-89.86481,552
40.248494,-103.79179,555
17.7102,-64.7544,562
29.7604192830488,-95.3702402325324,563
35.34466,-91.5143,603
43.15694,-77.60186,643
42.426482,-123.164216,667
38.31337,-81.57088,680
43.0978,-70.7842,688
26.6125,-80.0678,697
37.7951835113227,-81.9476087561079,700
32.268790484065,-107.74437960606,716
42.4926,-83.44298,741
43.439384,-84.071709,808
42.716023,-89.005927,827
37.343787,-108.760096,828
41.44574,-82.12005,828
47.604662,-122.329636,862
41.9923,-70.89789,866
31.806685,-101.784952,866
43.6207815209447,-84.7674401576726,867
31.8988,-101.9099,874
38.6996,-88.5392,899
32.00972,-101.91973,901
41.58758,-93.62616,910
41.4278,-74.4186,915
41.1269,-74.1653,970
32.604571,-81.740261,976
43.0803,-75.6003,984
32.2511,-110.9889,998
40.290792,-80.987631,1011
37.453854,-122.111238,1041
31.8107687754439,-103.073608433298,1080
42.1236,-83.1811,1080
43.3359,-91.1672,1091
34.05893,-118.44336,1102
41.89142,-70.91059,1131
42.22128,-72.54598,1138
42.52737,-92.44079,1156
32.19855,-93.483151,1186
41.49916,-83.72712,1205
41.427594,-75.592816,1212
37.690348,-95.401344,1220
39.646803,-106.940343,1288
30.462311,-93.147978,1345
42.95203,-76.5868,1354
44.7813192116423,-85.6393618634405,1359
38.551717,-121.429721,1366
28.69809,-96.94545,1377
36.85812,-88.35076,1398
36.61977,-88.29808,1434
47.66,-117.39,1438
41.38311,-90.51353,1444
43.9842,-75.6225,1449
35.46646,-97.52124,1454
36.13328,-95.96726,1465
21.377625,-157.76796,1473
34.6937436398831,-82.1985702509251,1486
40.124713,-79.930463,1486
38.703671,-88.086588,1491
41.151282,-81.559298,1533
36.68793,-119.94582,1549
35.314962,-86.636076,1584
42.3833,-87.8133,1597
38.0296,-78.47772,1602
31.32981,-86.46757,1605
41.726396,-81.254031,1607
32.422926,-110.044966,1622
33.8073,-117.9833,1634
29.73177,-95.43444,1638
29.760776,-95.366306,1650
30.31203,-95.425376,1654
37.71447,-122.19347,1659
42.039162,-71.29993,1661
40.731721,-73.611541,1700
30.2642803068953,-97.7448280454069,1711
45.600836,-122.760606,1720
44.89093,-93.010843,1726
43.959893,-122.998005,1731
37.2144,-76.4611,1733
41.029754,-87.86591,1764
36.834095,-85.672562,1793
34.71568,-81.62514,1838
41.5269,-72.0631,1842
42.0269,-93.5828,1856
41.92299,-71.086477,1910
39.495529,-88.288727,1934
38.838852,-121.348045,2000
35.09233,-119.407371,2015
36.2397,-119.9044,2048
35.4687482827445,-97.5173353317617,2091
29.7607514125575,-95.3664135891751,2110
33.65099,-85.85197,2130
