incident_name,Date ,Acres,Longitude,Latitude
Mercury Fire,2016-07-09T12:43:00Z,95,-120.841536,5487
Elk Fire,2015-09-02T14:57:00Z,673,-122,55.23
R-6 Fire,2019-09-06T13:20:00Z,260,-120.606,44.734
Chetco Fire,2017-07-12T13:45:00Z,191125,-123.95405,42.29896
Oregon Gulch Fire (part of the Beaver Complex),2014-07-30T23:00:00Z,35302,-122.345,42.048
Miller Complex,2017-08-14T14:00:00Z,39715,-123.218,42.039
Ward Fire,2019-08-09T23:08:25Z,1301,-122.175,42.033
Dorris Fire,2015-07-21T17:00:00Z,24,-121.891226,41.999341
Owens Fire,2017-08-29T15:39:00Z,55,-121.90077,41.99483
Ward Fire,2017-08-13T12:41:00Z,41,-122.9401,41.99279
Hole Fire,2017-09-12T12:45:00Z,40,-124.01168,41.98128
Hill Fire,2017-07-29T16:33:00Z,155,-121.9741,41.9808
Smokey Fire ,2022-08-04T09:05:00Z,34,-122.7825581,41.9708541
Bailey Fire,2016-07-19T14:09:00Z,26,-122.59328,41.96191
Smith River Complex,2023-08-15T07:00:00Z,,-123.868447,41.958269
Gulch Fire ,2022-03-12T12:46:00Z,113,-121.9015432,41.9525087
Natchez Fire,2018-07-15T18:30:00Z,38134,-123.54642,41.95113
IronGate Fire,2019-06-16T20:33:00Z,10,-122.40157,41.94622
Iron Gate Fire,2018-10-10T21:50:00Z,15,-122.43933,41.94046
Shore Fire,2017-06-26T21:30:00Z,28,-124.19629,41.93323
Bogus Fire,2017-06-18T15:45:00Z,56,-122.36545,41.93006
Refuge Fire,2021-03-27T17:02:04Z,873,-121.627082,41.927772
Cottonwood Fire,2013-08-15T14:40:00Z,50,-122.578393,41.923323
Beswick Fire,2021-06-28T18:14:00Z,118,-122.374848,41.917209
Goose 2 Fire,2019-07-17T16:13:41Z,128,-120.306,41.909
Klamathon Fire,2018-07-05T12:31:00Z,38008,-122.534655,41.893332
Modoc Lightning Complex,2014-07-01T19:00:00Z,1651,-120.79,41.89
Coyote Fire,2022-09-07T14:52:00Z,297,-121.839853,41.8739166
Whitepine Fire,2017-06-06T16:38:00Z,46,-122.4571,41.8721
Barnes Fire,2022-09-07T15:59:00Z,5843,-120.29122,41.87117
Yeti and Alex Fire,2022-07-29T17:14:12Z,,-123.278,41.868
Klamath Fire,2017-07-04T15:21:00Z,0,-122.73031,41.86609
Gravel Fire,2021-10-15T15:15:00Z,200,-120.358206,41.862388
Lime Fire,2019-09-07T08:36:32Z,1872,-122.662258,41.862237
Battle Fire,2017-06-28T13:50:00Z,562,-121.29581,41.85763
Young Fire,2017-08-07T17:45:00Z,3142,-123.676,41.853
Gap Fire,2016-08-27T18:00:00Z,33867,-123.118,41.851
Eclipse Complex,2017-08-15T07:55:00Z,78698,-123.474,41.841
Salmon-August Complex ,2017-06-25T17:00:00Z,0,-123.474,41.841
Community Fire,2019-07-27T10:15:00Z,35,-122.845,41.838
Tree Fire,2019-07-27T10:15:00Z,83,-122.656569,41.834366
McKinney Fire ,2022-07-29T14:16:00Z,60138,-122.894782,41.833813
Cherry Fire,2018-06-27T19:46:00Z,63,-122.99272,41.83359
Juniper Fire,2021-07-05T16:34:58Z,1011,-120.638464,41.80728
Cooley Fire,2015-07-13T17:56:00Z,181,-122.5029,41.8048
Happy Camp Complex,2014-08-11T22:00:00Z,0,-123.374,41.796
Tucker Fire,2019-07-28T15:58:00Z,14217,-121.260305,41.79591
Eliza Fire,2022-09-08T19:57:47Z,,-122.692408,41.793769
Badger Fire,2020-07-18T17:18:20Z,557,-122.69296,41.79319
Ager Fire,2018-05-19T13:04:00Z,27,-122.513883,41.791859
Grade Fire,2016-08-24T14:55:00Z,710,-122.611,41.7813
Happy Camp Complex,2023-08-16T10:27:00Z,,-123.045093,41.777554
Bar Fire,2019-09-15T15:52:00Z,91,-123.000833,41.749667
Lone Fire,2019-09-06T11:34:27Z,5737,-121.056,41.748
Davis Creek Complex,2013-09-05T15:57:00Z,97,-120.375,41.73325
Dode Fire,2017-07-13T15:23:00Z,410,-121.30451,41.72163
Table Fire,2016-07-21T20:30:00Z,23,-122.36924,41.71847
Steamboat Fire,2018-07-15T09:58:00Z,224,-122.47293,41.70877
Elk Fire,2019-10-04T12:03:48Z,63,-123.4375,41.70611111
Clear Complex (merged into Eclipse Complex),2017-07-25T12:45:00Z,0,-123.508,41.702
July Complex,2020-07-24T07:33:21Z,83261,-121.477,41.699
Hambone Fire,2021-08-06T11:11:37Z,55,-121.53946,41.68499
Schoolhouse Fire,2020-09-09T15:59:31Z,45,-122.84057,41.68229
Little Deer Fire,2014-07-31T17:45:00Z,5503,-122.127,41.682
Tennant Fire,2021-06-28T16:07:00Z,10580,-122.054254,41.665191
Lilly Fire,2021-06-28T16:07:00Z,35,-122.054254,41.665191
Shastina Fire,2018-05-09T18:11:00Z,127,-122.48556,41.65935
S-2 Fire,2022-08-10T14:17:00Z,,-120.008429,41.649229
Rocky Fire,2019-06-14T16:14:00Z,17,-122.35962,41.64895
Meamber Fire,2018-06-04T15:08:00Z,12,-122.98442,41.64805
4-10 Fire,2017-08-30T14:50:00Z,27,-120.31814,41.64469
Kelsey Fire,2022-07-30T21:17:00Z,85,-123.1193265,41.6430162
Meamber Fire,2022-07-31T19:17:00Z,63,-122.988315,41.640867
Lott Fire,2018-07-17T19:03:00Z,10,-122.37985,41.632373
Moffett Fire,2016-09-12T16:28:00Z,32,-122.7933,41.6314
Pony Fire,2016-06-07T02:45:00Z,2860,-123.557,41.623
Thomas Fire,2020-12-03T13:32:00Z,24,-120.374514,41.591948
Orleans Complex,2017-07-26T18:00:00Z,27276,-123.501,41.59
Antelope Fire,2021-06-22T11:19:00Z,580,-120.729446,41.583949
Martin Fire,2018-06-03T16:14:00Z,37,-122.33769,41.58233
Shackleford Fire,2020-09-11T10:05:44Z,50,-123.021635,41.575549
Shackleford Fire,2022-07-30T18:06:00Z,31,-123.0213226,41.5734543
Rail Fire,2013-09-07T17:30:00Z,68,-120.959,41.569
McCash Fire,2021-08-18T08:50:00Z,94962,-123.404,41.564
4-3 Fire,2021-06-24T18:38:46Z,134,-120.497502,41.562302
Antelope Fire,2021-08-01T11:28:25Z,145632,-121.9154934,41.5289901
Cowhead Fire,2020-07-31T20:06:14Z,,-120.17183,41.52261
Essex Fire,2018-09-02T14:53:00Z,15,-120.72362,41.52123
Duzel Fire,2019-09-07T18:19:16Z,15,-122.740333,41.512917
Little Fire,2014-08-12T15:00:00Z,101,-121.266,41.507
East Fire,2020-06-20T17:23:41Z,11,-120.54161,41.5017
Kelley Fire,2018-07-14T20:46:00Z,52,-120.61108,41.50105
97 Fire,2022-09-27T08:54:50Z,30,-122.3414,41.4987
Kidder 2 Fire,2019-09-07T08:47:46Z,227,-123.2129356,41.4929742
Gulch Fire,2014-07-03T15:46:00Z,1469,-120.904,41.489
Stephens Fire,2015-02-24T12:15:00Z,200,-121.851,41.485
4-4 Fire,2017-08-30T11:38:00Z,28,-120.36659,41.4844
Marble Fire,2017-07-19T14:00:00Z,319,-123.506,41.478
McCovey Fire,2022-08-29T19:53:00Z,25,-123.9277,41.4672
Parker 2 Fire,2017-08-03T14:00:00Z,7697,-120.321,41.466
Howard Fire,2016-09-11T14:15:00Z,380,-120.9066,41.4657
Ranch Fire,2022-08-29T07:53:00Z,26,-123.9477,41.4626
Mountain Fire ,2022-09-02T15:48:00Z,13440,-122.627469,41.459009
Lava Fire,2021-06-24T20:35:24Z,26409,-122.329,41.459
Centerville Fire,2017-07-17T13:38:00Z,15,-120.56933,41.45589
Evergreen Fire ,2022-03-12T13:17:00Z,12,-122.3685584,41.4455854
257 Fire,2020-11-17T12:47:00Z,49,-120.87054,41.4435
Meadow Fire (Not a CAL FIRE incident),2019-08-02T16:53:18Z,103,-120.23976,41.43783
Mill Fire,2022-09-02T12:49:00Z,3939,-122.3852,41.4303
Boles Fire,2014-09-15T13:38:00Z,516,-122.37432,41.42384
Frog Fire,2015-07-30T17:45:00Z,4863,-121.392,41.399
Fay Fire,2017-07-05T11:05:00Z,496,-122.8428,41.3975
River Complex,2021-07-30T18:17:40Z,199359,-123.057,41.389
Stone Fire,2018-08-15T18:05:00Z,39387,-121.04386,41.38544
Jones Fire,2017-06-03T13:09:00Z,42,-120.53443,41.38247
Johnson Fire,2018-07-15T16:14:00Z,16,-123.85404,41.34453
Warner Mountain Lightning,2017-07-23T00:00:00Z,0,-120.304,41.338
Orleans Complex,2013-08-03T08:00:00Z,0,-123.376,41.333
Salmon River Complex,2013-07-31T22:00:00Z,14754,-123.176,41.32
Ridge Fire,2022-06-26T08:13:12Z,12,-122.359698,41.317476
Queen Fire,2015-07-24T23:00:00Z,158,-123.784067,41.295667
Eagle Fire,2018-07-13T22:03:00Z,2100,-120.11461,41.29363
3-11 Fire,2015-07-23T16:40:00Z,116,-121.172117,41.29226
Coyote Fire,2021-07-09T16:41:27Z,110,-121.77593,41.28523
Tully Fire,2016-08-22T16:03:00Z,599,-123.82268,41.28486
Soup Complex,2016-09-17T14:37:00Z,2652,-120.3178,41.2649
Bradley Fire,2021-07-11T15:08:43Z,357,-121.82403,41.25272
SKU August Lightning Complex,2023-08-15T19:48:44Z,883,-121.5041,41.2477
Fox Fire (formally 3-7 Fire),2013-07-03T22:56:00Z,502,-121.035,41.2415
Whitlow Fire,2022-03-25T21:23:21Z,10,-121.692093,41.234712
Bluff Fire,2021-05-21T06:55:59Z,25,-123.66003,41.23106
Bradley Fire,2017-08-28T22:00:00Z,54,-122.292,41.222
Bradley Fire,2017-08-28T21:38:00Z,54,-122.27499,41.222
Fox Fire,2020-09-16T11:08:31Z,2188,-122.847359,41.211022
Milepost 21 Fire,2020-07-20T15:44:53Z,100,-123.6986222,41.1849445
West Fire,2017-04-03T16:00:00Z,380,-120.58342,41.16716
