creation_date,accession_number,artist,display_title,Latitude,Longitude
1814,1928.2,"Bullock, George",William Shakespeare,37.76698814,-122.4665455
1880,1924.1,"Rodin, Auguste",The Thinker,37.781705,-122.496671
1881,1893.1,"Geefs, Guillaumo",Leonitus (Roman Gladiator),37.77142602,-122.468789
1885,1885.1.a-e,"Happersberger, Frank",James A. Garfield (1831-1881),37.77242694,-122.4686445
1886,1886.1,"Conrads, Carl H.",General Henry W. Halleck (1815-1872),37.77130004,-122.45917
1887,1887.1.a-f,"Story, William Wetmore",Francis Scott Key (1780-1843),37.76961583,-122.4677186
1889,1889.1,"Tilden, Douglas",Ball Thrower,37.77130004,-122.45917
1890,1892.1,"French, Daniel Chester",Thomas Starr King (1824-1864),37.77245962,-122.4665353
1892,1894.2.a-b,"Shields-Clarke, Thomas",The Cider Press,37.77089834,-122.4683123
1894,1894.4.a-o,"Happersberger, Frank",Pioneer Monument  (James Lick Monument),37.77959004,-122.41676
1894,1897.2,"Porter, Bruce",Robert Louis Stevenson (1850-1894) Memorial,37.79523004,-122.4058099
1897,1897.1,"Tilden, Douglas",Native Sons Monument (Admission Day Monument),37.78877006,-122.40199
1898,1906.1,"Perry, R. Hinton",Lion,37.77142602,-122.468789
1899,1899.1,"Aitken, Robert Ingersoll",Spandrels on Spreckles Temple of Music,37.76961583,-122.4677186
1900,1954.18,Taddeo,Fountain of the Tortoises,37.79161006,-122.41246
1901,1902.1,"Aitken, Robert Ingersoll","The Dewey Monument (Admiral George Dewey, 1837-1917)",37.78793099,-122.4075
1901,1901.2,"Tilden, Douglas",Mechanics Monument (Peter Donahue-1829-1885),37.79105002,-122.3991399
1903,1903.2.1-2,"Putnam, Arthur",Sphinx,37.77142602,-122.468789
1903,1903.1,"Tilden, Douglas","California Volunteers, Spanish American War, 1898",37.76920004,-122.4269099
1904,1903.2.2,"Aitken, Robert Ingersoll",William McKinley,37.77362002,-122.4409299
1904,1903.2.1,"Cummings, M. Earl",Man Drinking Water,37.80024003,-122.4108299
1905,1905.1,"Cummings, M. Earl",Sun Dial,37.77142602,-122.468789
1906,1904.2.a-b,"Cummings, M. Earl",Robert Burns (1759-1796),37.77260003,-122.4658099
1906,1907.1,"Tilden, Douglas",Padre Junipero Serra (1713-1784),37.77089834,-122.4683123
1908,1908.1,"Cummings, M. Earl",Bear and Lion,37.77338005,-122.4658799
1908,1907.2,"Cummings, M. Earl",Lion,37.77338005,-122.4658799
1908,1908.3.a-b,"Cummings, M. Earl",Bear,37.77338005,-122.4658799
1910,1908.3.b,"Patigian, Haig",Luisa Tetrazzini (1874-1940) Plaque,37.78766005,-122.4034599
1914,1908.3.a,"Grafly, Charles",Pioneer Mother,37.77121006,-122.4738899
