Site Name,City,Country,State,Street Address,Address,Latitude,Longitude,Coordinates,Zip Code,NPL Status,HRS Score
35TH AVENUE,BIRMINGHAM,U.S.A,AL,3500 35TH N.,"3500 35TH N., BIRMINGHAM, AL, U.S.A, 35207",33.5582949,-86.7961379,"33.5582949, -86.7961379",35207,Proposed NPL,50
ALABAMA ARMY AMMUNITION PLANT,CHILDERSBURG,U.S.A,AL,STATE HWY 235,"STATE HWY 235, CHILDERSBURG, AL, U.S.A, 35044",33.3192793,-86.3596706,"33.3192793, -86.3596706",35044,Final NPL,36.83
"ALABAMA PLATING COMPANY, INC.",VINCENT,U.S.A,AL,570 HIGHWAY 231 NORTH,"570 HIGHWAY 231 NORTH, VINCENT, AL, U.S.A, 35178",33.3984795,-86.4042668,"33.3984795, -86.4042668",35178,Final NPL,30.2
AMERICAN BRASS INC.,HEADLAND,U.S.A,AL,HIGHWAY 134 WEST,"HIGHWAY 134 WEST, HEADLAND, AL, U.S.A, 36345",31.3446108,-85.3582472,"31.3446108, -85.3582472",36345,Final NPL,55.61
ANNISTON ARMY DEPOT (SOUTHEAST INDUSTRIAL AREA),ANNISTON,U.S.A,AL,OFF AL HWY 202,"OFF AL HWY 202, ANNISTON, AL, U.S.A, 36253",33.6408323,-85.8864774,"33.6408323, -85.8864774",36253,Final NPL,51.91
ANNISTON PCB SITE (MONSANTO CO),ANNISTON,U.S.A,AL,702 Clydesdale Ave.,"702 Clydesdale Ave., ANNISTON, AL, U.S.A, 36201",33.6517098,-85.8539242,"33.6517098, -85.8539242",36201,Not NPL,
CIBA-GEIGY CORP. (MCINTOSH PLANT),MCINTOSH,U.S.A,AL,OFF HWY 43,"OFF HWY 43, MCINTOSH, AL, U.S.A, 36553",31.2662818,-88.0313903,"31.2662818, -88.0313903",36553,Final NPL,53.42
INTERSTATE LEAD CO. (ILCO),LEEDS,U.S.A,AL,"8551 Borden Ave. SE,","8551 Borden Ave. SE,, LEEDS, AL, U.S.A, 35094",33.5374497,-86.5312439,"33.5374497, -86.5312439",35094,Final NPL,42.86
MOWBRAY ENGINEERING CO.,GREENVILLE,U.S.A,AL,JCT OF 2ND & BEELAND STS,"JCT OF 2ND & BEELAND STS, GREENVILLE, AL, U.S.A, 36037",31.832415,-86.612735,"31.832415, -86.612735",36037,Deleted NPL,
OLIN CORP. (MCINTOSH PLANT),MCINTOSH,U.S.A,AL,OLIN RD,"OLIN RD, MCINTOSH, AL, U.S.A, 36553",31.2645612,-88.0188576,"31.2645612, -88.0188576",36553,Final NPL,39.71
PERDIDO GROUND WATER CONTAMINATION,PERDIDO,U.S.A,AL,COUNTY RD 47 S,"COUNTY RD 47 S, PERDIDO, AL, U.S.A, 36562",31.021453,-87.6763049,"31.021453, -87.6763049",36562,Deleted NPL,
"REDWING CARRIERS, INC. (SARALAND)",SARALAND,U.S.A,AL,527 US HWY 43,"527 US HWY 43, SARALAND, AL, U.S.A, 36571",30.8108446,-88.0714127,"30.8108446, -88.0714127",36571,Deleted NPL,
STAUFFER CHEMICAL CO. (COLD CREEK PLANT),BUCKS,U.S.A,AL,13500 US HWY 43 North,"13500 US HWY 43 North, BUCKS, AL, U.S.A, 36512",31.0097328,-88.0248275,"31.0097328, -88.0248275",36512,Final NPL,46.77
STAUFFER CHEMICAL CO. (LEMOYNE PLANT),AXIS,U.S.A,AL,13440 Highway 43 North,"13440 Highway 43 North, AXIS, AL, U.S.A, 36505",30.9297926,-88.0272647,"30.9297926, -88.0272647",36505,Final NPL,32.34
T.H. AGRICULTURE & NUTRITION CO. (MONTGOMERY PLANT),MONTGOMERY,U.S.A,AL,3017 BIRMINGHAM HWY,"3017 BIRMINGHAM HWY, MONTGOMERY, AL, U.S.A, 36108",32.3705974,-86.3747568,"32.3705974, -86.3747568",36108,Final NPL,
TRIANA/TENNESSEE RIVER,LIMESTONE/MORGAN,U.S.A,AL,USAMICOM DRSMI KL,"USAMICOM DRSMI KL, LIMESTONE/MORGAN, AL, U.S.A, 35898",34.7800072,-86.9423801,"34.7800072, -86.9423801",35898,Final NPL,61.42
USARMY/NASA REDSTONE ARSENAL,HUNTSVILLE,U.S.A,AL,Postal Address is unavailable for the Site,"Postal Address is unavailable for the Site, HUNTSVILLE, AL, U.S.A, 35808",34.6729904,-86.6510329,"34.6729904, -86.6510329",35808,Final NPL,
"ARKWOOD, INC.",OMAHA,U.S.A,AR,S. OF CITY @ CRICKETT RR JUNC.,"S. OF CITY @ CRICKETT RR JUNC., OMAHA, AR, U.S.A, 72662",36.4524342,-93.1883687,"36.4524342, -93.1883687",72662,Final NPL,28.95
