incident_name,Date ,Acres,Longitude,Latitude
Lincoln Fire,2020-07-27T18:50:25Z,25,-124.19954,40.78804
Shore Fire,2017-06-26T21:30:00Z,28,-124.19629,41.93323
Horse Fire,2015-08-18T18:30:00Z,146,-124.0720419,40.1058823
Stafford Fire,2016-08-11T14:57:00Z,23,-124.05804,40.4572
Hole Fire,2017-09-12T12:45:00Z,40,-124.01168,41.98128
Green Hill Fire,2018-11-12T17:39:00Z,10,-124.001849,40.888785
Blue Fire,2017-10-08T16:40:00Z,20,-123.96844,40.88516
Chetco Fire,2017-07-12T13:45:00Z,191125,-123.95405,42.29896
Ranch Fire,2022-08-29T07:53:00Z,26,-123.9477,41.4626
McCovey Fire,2022-08-29T19:53:00Z,25,-123.9277,41.4672
Redwood Fire,2020-10-23T13:52:08Z,102,-123.88658,40.55823
Smith River Complex,2023-08-15T07:00:00Z,,-123.868447,41.958269
Johnson Fire,2018-07-15T16:14:00Z,16,-123.85404,41.34453
Usal Fire,2019-07-27T23:36:00Z,130,-123.846013,39.831762
Bald Fire,2015-06-10T07:42:00Z,20,-123.8292,41.1513
Tully Fire,2016-08-22T16:03:00Z,599,-123.82268,41.28486
Queen Fire,2015-07-24T23:00:00Z,158,-123.784067,41.295667
Summit Fire,2016-08-12T17:23:00Z,21,-123.77832,40.9878
Buck Fire,2015-07-28T17:19:00Z,16,-123.774,40.1093
Red Fire,2014-01-04T12:00:00Z,333,-123.773779,40.884415
Saw Fire,2017-08-03T11:58:00Z,85,-123.76099,40.11794
Bald Hill 3 Fire,2014-09-12T15:00:00Z,210,-123.753,41.134
Milepost 21 Fire,2020-07-20T15:44:53Z,100,-123.6986222,41.1849445
Mill Creek 1 Fire,2018-08-16T09:18:00Z,3674,-123.688056,41.07944
Young Fire,2017-08-07T17:45:00Z,3142,-123.676,41.853
Pilot Fire,2019-01-01T14:14:00Z,30,-123.6755556,40.61805556
Knob Fire,2021-08-29T08:00:00Z,2421,-123.6744,40.8652
Owens Fire,2022-05-20T15:10:00Z,36,-123.6641833,38.8733747
South Fork Complex,2023-08-15T08:00:00Z,,-123.662677,40.623606
Bluff Fire,2021-05-21T06:55:59Z,25,-123.66003,41.23106
Blocksburg Fire,2017-08-03T16:41:00Z,30,-123.64281,40.27582
Miller Fire,2017-08-31T13:57:00Z,34,-123.64214,40.03697
Bear Fire ,2020-02-15T17:48:27Z,15,-123.6378411,40.511092
Translator Fire,2017-08-28T08:01:00Z,40,-123.63721,41.02705
Bell Fire,2021-08-14T00:00:00Z,50,-123.637032,39.834099
SRF Lightning Complex,2023-08-20T11:16:48Z,,-123.611167,41.017222
Bell Fire,2022-07-17T16:36:27Z,43,-123.598273,39.90557
Six Rivers (SRF) Lightning Complex,2022-08-05T21:44:29Z,,-123.5862017,40.9269568
Sway Fire,2017-08-01T10:23:00Z,19,-123.57562,40.39799
Pony Fire,2016-06-07T02:45:00Z,2860,-123.557,41.623
Grape Fire,2018-04-24T16:59:00Z,0,-123.55012,40.70258
Natchez Fire,2018-07-15T18:30:00Z,38134,-123.54642,41.95113
K-Rail,2021-08-30T13:30:00Z,16,-123.52733,41.03877
Kerlin Fire,2018-09-04T15:20:00Z,1751,-123.52019,40.616251
River Fire,2017-10-14T16:00:00Z,148,-123.51619,40.46836
Clear Complex (merged into Eclipse Complex),2017-07-25T12:45:00Z,0,-123.508,41.702
Marble Fire,2017-07-19T14:00:00Z,319,-123.506,41.478
Mountain Fire,2021-07-23T00:00:00Z,25,-123.505,39.976
Ruff Fire ,2016-09-10T14:06:00Z,50,-123.5044,39.7299
Orleans Complex,2017-07-26T18:00:00Z,27276,-123.501,41.59
Corral Complex,2013-08-10T11:40:00Z,12503,-123.488,41.035
Nash Fire,2020-06-01T17:41:59Z,10,-123.48018,39.1296
Eclipse Complex,2017-08-15T07:55:00Z,78698,-123.474,41.841
Salmon-August Complex ,2017-06-25T17:00:00Z,0,-123.474,41.841
Wilson Fire,2019-10-04T18:38:09Z,10,-123.458782,39.613783
Elk Fire,2019-10-04T12:03:48Z,63,-123.4375,41.70611111
Flat Fire,2020-06-30T17:40:16Z,62,-123.437051,40.791509
Mina Fire,2016-08-30T13:35:00Z,36,-123.4267011,39.8748511
McCash Fire,2021-08-18T08:50:00Z,94962,-123.404,41.564
Oak Fire,2020-09-07T13:26:45Z,1100,-123.3965,39.4935
Sandy Fire,2017-08-02T08:30:00Z,32,-123.39253,40.79902
Peach Fire ,2018-07-05T15:12:00Z,90,-123.38493,39.038859
Orleans Complex,2013-08-03T08:00:00Z,0,-123.376,41.333
Sandy Fire,2017-08-02T11:13:00Z,32,-123.375,40.804
Happy Camp Complex,2014-08-11T22:00:00Z,0,-123.374,41.796
Ruth Complex,2017-08-07T22:30:00Z,4736,-123.36882,40.17598
Mendocino Lightning Fires,2015-07-30T13:36:00Z,50,-123.36316,39.43301
Turnout Fire,2021-04-18T17:46:54Z,200,-123.35838,38.99914
Meadow Fire ,2022-07-19T12:25:00Z,17,-123.33756,39.058043
Monument Fire,2021-07-30T12:28:00Z,223124,-123.337,40.752
Walker Fire,2022-09-01T15:59:00Z,124,-123.3159,39.3669
Soda Fire,2015-07-04T15:30:00Z,23,-123.303,39.0263
Grade Fire,2017-07-16T14:51:00Z,900,-123.28825,39.30125
Brushy Fire,2018-11-08T11:58:00Z,35,-123.28774,39.62194
Yeti and Alex Fire,2022-07-29T17:14:12Z,,-123.278,41.868
Mina Fire,2020-08-10T18:31:57Z,177,-123.262437,39.82454
Heart Fire,2018-07-21T16:22:00Z,67,-123.258319,39.279833
Covelo Fire,2015-06-28T13:30:00Z,35,-123.248214,39.7806004
Fort Fire,2017-10-07T20:00:00Z,20,-123.24713,38.51937
West Fire,2014-07-01T03:45:00Z,15,-123.24,40.41
Tomki Fire,2021-05-21T15:36:15Z,18,-123.23205,39.384319
Broiler Fire,2021-07-07T14:30:00Z,80,-123.224377,39.253647
Henthorne Fire,2019-09-05T09:25:00Z,244,-123.222196,40.062304
Miller Complex,2017-08-14T14:00:00Z,39715,-123.218,42.039
Vineyard Fire ,2020-06-09T15:22:55Z,151,-123.21318,38.89695
Kidder 2 Fire,2019-09-07T08:47:46Z,227,-123.2129356,41.4929742
Creek Fire,2020-08-18T17:58:52Z,820,-123.2111007,39.8174372
Nome Fire,2022-07-05T17:15:00Z,20,-123.2055576,39.8166571
Hopkins Fire,2021-09-12T14:15:09Z,257,-123.202039,39.232362
Moose Fire,2019-08-12T17:10:00Z,225,-123.195306,39.005262
Salmon River Complex,2013-07-31T22:00:00Z,14754,-123.176,41.32
Saddle Fire ,2015-06-10T15:00:00Z,1542,-123.168,40.924
Redwood Valley Fire (Mendocino Lake Complex),2017-10-08T23:36:00Z,36523,-123.16635,39.24873
Retek Fire,2013-11-22T10:06:00Z,82,-123.1478,39.0442
Grape Fire,2017-09-19T13:02:00Z,146,-123.1362,39.02482
Burris Fire,2019-10-27T14:54:40Z,703,-123.12887,39.22431
Hobo Fire ,2020-09-01T09:37:58Z,,-123.12461,40.82126
River Fire (Mendocino Complex),2018-07-27T13:01:00Z,48920,-123.11971,39.04786
Kelsey Fire,2022-07-30T21:17:00Z,85,-123.1193265,41.6430162
Gap Fire,2016-08-27T18:00:00Z,33867,-123.118,41.851
Ranch Fire (Mendocino Complex),2018-07-27T12:05:00Z,410203,-123.103367,39.243283
Range Fire,2017-07-17T12:37:00Z,20,-123.10227,39.13207
Helena - Fork Fire,2017-08-30T18:00:00Z,21846,-123.10003,40.76025
Eel Fire,2018-07-31T15:28:00Z,972,-123.08489,39.82877
Pratt Fire,2013-07-23T13:29:00Z,45,-123.067671,38.980846
River Complex,2021-07-30T18:17:40Z,199359,-123.057,41.389
Petersburg Fire,2018-07-01T18:13:00Z,215,-123.051,41.085
Western Fire,2018-08-01T15:53:00Z,106,-123.0496,38.8802
Happy Camp Complex,2023-08-16T10:27:00Z,,-123.045093,41.777554
Buck Fire,2017-09-12T17:42:00Z,13417,-123.03583,40.2275
McFarland Fire,2021-07-30T18:44:00Z,122653,-123.034,40.35
Slides Fire,2017-09-12T16:08:00Z,58,-123.03344,39.42604
Maxwell Fire,2021-10-05T15:34:31Z,80,-123.02375,40.649917
Shackleford Fire,2020-09-11T10:05:44Z,50,-123.021635,41.575549
Shackleford Fire,2022-07-30T18:06:00Z,31,-123.0213226,41.5734543
Alpine Fire ,2022-03-01T17:15:00Z,21,-123.015106,38.46234
3-19 Fire,2020-08-18T15:27:56Z,62,-123.013667,39.276
Bar Fire,2019-09-15T15:52:00Z,91,-123.000833,41.749667
Cherry Fire,2018-06-27T19:46:00Z,63,-122.99272,41.83359
Meamber Fire,2022-07-31T19:17:00Z,63,-122.988315,41.640867
Meamber Fire,2018-06-04T15:08:00Z,12,-122.98442,41.64805
Bar Fire,2020-04-25T14:59:00Z,55,-122.97693,40.63442
Ridge Fire,2018-09-02T14:02:00Z,36,-122.97222,38.981389
Highland Fire,2013-09-28T13:57:00Z,98,-122.966,38.9252
Democrat Fire,2015-08-25T14:08:00Z,128,-122.96174,40.724898
Deep Fire,2023-08-16T08:28:40Z,,-122.94871,40.93686
Oregon Fire,2014-08-24T16:36:00Z,461,-122.946,40.7412
Baseball Fire,2020-02-25T14:17:21Z,211,-122.9411111,39.75638899
Ward Fire,2017-08-13T12:41:00Z,41,-122.9401,41.99279
Pomo Fire,2021-06-17T16:45:06Z,42,-122.916,39.16338
Mockingbird Fire,2016-08-30T16:54:00Z,20,-122.9148951,39.1408865
Flat Fire,2018-06-28T18:01:00Z,300,-122.9144,40.60402
Pocket Fire (Central LNU Complex),2017-10-09T08:30:00Z,17357,-122.90939,38.76549
Independence Fire,2017-07-31T23:17:00Z,11,-122.90217,38.70289
McKinney Fire ,2022-07-29T14:16:00Z,60138,-122.894782,41.833813
Gorge Fire,2018-08-19T07:32:00Z,155,-122.8905556,40.36888889
Peterson Fire,2015-08-22T17:30:00Z,215,-122.879272,38.925764
Carder Fire,2018-07-21T14:40:00Z,50,-122.86854,38.91152
Slide 1 Fire,2023-08-16T08:35:57Z,,-122.855,40.036944
Kelsey Fire,2018-09-03T13:58:00Z,24,-122.85276,38.91842
Skeleton Fire,2017-09-12T14:36:00Z,200,-122.85194,39.44543
McCabe Fire,2013-11-22T02:04:00Z,3505,-122.8498,38.8167
Fox Fire,2020-09-16T11:08:31Z,2188,-122.847359,41.211022
Beegum Fire,2020-02-23T08:35:30Z,75,-122.8472222,40.33583333
Community Fire,2019-07-27T10:15:00Z,35,-122.845,41.838
Fay Fire,2017-07-05T11:05:00Z,496,-122.8428,41.3975
Schoolhouse Fire,2020-09-09T15:59:31Z,45,-122.84057,41.68229
Woodward Fire,2020-08-18T14:27:00Z,4929,-122.836701,38.018089
Oak Fire,2019-09-07T14:00:00Z,53,-122.833831,38.955024
Bolla Fire,2017-06-18T07:15:00Z,60,-122.83208,40.32063
Sawmill Fire,2016-09-25T10:43:00Z,1547,-122.82895,38.80017
Mount Fire,2013-06-20T14:29:00Z,25,-122.81796,38.98058
Bottle Fire,2017-08-08T16:40:00Z,62,-122.81135,38.94599
Coffee Fire,2014-07-30T20:30:00Z,6258,-122.805,41.141
Roblar Fire ,2022-06-27T15:47:53Z,63,-122.796221,38.323263
Moffett Fire,2016-09-12T16:28:00Z,32,-122.7933,41.6314
Platina Fire,2020-07-19T17:05:41Z,333,-122.792645,40.462621
Foothill Fire,2016-07-19T17:16:00Z,69,-122.7891,39.0863
