Plant Name,Latitude,Longitude,Size,Technology
Skagway,59.454500,-135.313100,0.1,Conventional Hydroelectric
G W Ivey,25.475600,-80.470000,0.1,Petroleum Liquids
Marshall (MI),42.271700,-84.941100,0.1,Conventional Hydroelectric
Hoot Lake,46.290641,-96.043250,0.1,Petroleum Liquids
Arnold,41.421928,-100.195600,0.1,Petroleum Liquids
Emerson,42.276000,-96.729200,0.1,Petroleum Liquids
Spalding,41.681380,-98.367560,0.1,Conventional Hydroelectric
Spalding,41.681380,-98.367560,0.1,Conventional Hydroelectric
Danbury Dam,46.000000,-92.372500,0.1,Conventional Hydroelectric
Barron,45.401930,-91.840380,0.1,Conventional Hydroelectric
Washington Island,45.370922,-86.930820,0.1,Petroleum Liquids
Washington Island,45.370922,-86.930820,0.1,Petroleum Liquids
Kotzebue Hybrid,66.837778,-162.556900,0.1,Onshore Wind Turbine
Kotzebue Hybrid,66.837778,-162.556900,0.1,Onshore Wind Turbine
Kotzebue Hybrid,66.837778,-162.556900,0.1,Onshore Wind Turbine
Kotzebue Hybrid,66.837778,-162.556900,0.1,Onshore Wind Turbine
Kotzebue Hybrid,66.837778,-162.556900,0.1,Onshore Wind Turbine
Kotzebue Hybrid,66.837778,-162.556900,0.1,Onshore Wind Turbine
Kotzebue Hybrid,66.837778,-162.556900,0.1,Onshore Wind Turbine
Kotzebue Hybrid,66.837778,-162.556900,0.1,Onshore Wind Turbine
Kotzebue Hybrid,66.837778,-162.556900,0.1,Onshore Wind Turbine
Kotzebue Hybrid,66.837778,-162.556900,0.1,Onshore Wind Turbine
Kotzebue Hybrid,66.837778,-162.556900,0.1,Onshore Wind Turbine
Kotzebue Hybrid,66.837778,-162.556900,0.1,Onshore Wind Turbine
Kotzebue Hybrid,66.837778,-162.556900,0.1,Onshore Wind Turbine
Kotzebue Hybrid,66.837778,-162.556900,0.1,Onshore Wind Turbine
Pebbly Beach Generating Station Hybrid,33.333056,-118.310300,0.1,Petroleum Liquids
Pebbly Beach Generating Station Hybrid,33.333056,-118.310300,0.1,Petroleum Liquids
Pebbly Beach Generating Station Hybrid,33.333056,-118.310300,0.1,Petroleum Liquids
Pebbly Beach Generating Station Hybrid,33.333056,-118.310300,0.1,Petroleum Liquids
Pebbly Beach Generating Station Hybrid,33.333056,-118.310300,0.1,Petroleum Liquids
Pebbly Beach Generating Station Hybrid,33.333056,-118.310300,0.1,Petroleum Liquids
Pebbly Beach Generating Station Hybrid,33.333056,-118.310300,0.1,Petroleum Liquids
Pebbly Beach Generating Station Hybrid,33.333056,-118.310300,0.1,Petroleum Liquids
Pebbly Beach Generating Station Hybrid,33.333056,-118.310300,0.1,Petroleum Liquids
Pebbly Beach Generating Station Hybrid,33.333056,-118.310300,0.1,Petroleum Liquids
Pebbly Beach Generating Station Hybrid,33.333056,-118.310300,0.1,Petroleum Liquids
Pebbly Beach Generating Station Hybrid,33.333056,-118.310300,0.1,Petroleum Liquids
Pebbly Beach Generating Station Hybrid,33.333056,-118.310300,0.1,Petroleum Liquids
Pebbly Beach Generating Station Hybrid,33.333056,-118.310300,0.1,Petroleum Liquids
Pebbly Beach Generating Station Hybrid,33.333056,-118.310300,0.1,Petroleum Liquids
Pebbly Beach Generating Station Hybrid,33.333056,-118.310300,0.1,Petroleum Liquids
Pebbly Beach Generating Station Hybrid,33.333056,-118.310300,0.1,Petroleum Liquids
Pebbly Beach Generating Station Hybrid,33.333056,-118.310300,0.1,Petroleum Liquids
Pebbly Beach Generating Station Hybrid,33.333056,-118.310300,0.1,Petroleum Liquids
Pebbly Beach Generating Station Hybrid,33.333056,-118.310300,0.1,Petroleum Liquids
Pebbly Beach Generating Station Hybrid,33.333056,-118.310300,0.1,Petroleum Liquids
Pebbly Beach Generating Station Hybrid,33.333056,-118.310300,0.1,Petroleum Liquids
Pebbly Beach Generating Station Hybrid,33.333056,-118.310300,0.1,Petroleum Liquids
Wrightsville Hydro Plant,44.309693,-72.575310,0.1,Conventional Hydroelectric
Tallassee Hydro Project,33.989153,-83.498450,0.1,Conventional Hydroelectric
Talcville,44.308300,-75.308300,0.1,Conventional Hydroelectric
Auglaize Hydro,41.237206,-84.399760,0.1,Conventional Hydroelectric
Argyle,42.701900,-89.869700,0.1,Conventional Hydroelectric
Anderson Power Products Division,42.471389,-71.743330,0.1,Petroleum Liquids
Deer Island Treatment Plant,42.353333,-70.962780,0.1,Solar Photovoltaic
San Diego State University,32.778225,-117.070100,0.1,Solar Photovoltaic
San Diego State University,32.778225,-117.070100,0.1,Solar Photovoltaic
Indian Valley Dam Hydro Project,39.078800,-122.535600,0.1,Conventional Hydroelectric
Newport Hydro,43.185300,-75.016900,0.1,Conventional Hydroelectric
CTV Power Purchase Contract Trust,35.058300,-118.308300,0.1,Onshore Wind Turbine
Avalon Hydropower,36.423715,-79.952490,0.1,Conventional Hydroelectric
DSM Pharmaceuticals,35.665961,-77.357440,0.1,Petroleum Liquids
Quinebaug Lower Project,41.798656,-71.886760,0.1,Conventional Hydroelectric
Lanai Solar-Electric Plant,20.766700,-156.923300,0.1,Solar Photovoltaic
Lanai Solar-Electric Plant,20.766700,-156.923300,0.1,Solar Photovoltaic
Lanai Solar-Electric Plant,20.766700,-156.923300,0.1,Solar Photovoltaic
Lanai Solar-Electric Plant,20.766700,-156.923300,0.1,Solar Photovoltaic
Lanai Solar-Electric Plant,20.766700,-156.923300,0.1,Solar Photovoltaic
Lanai Solar-Electric Plant,20.766700,-156.923300,0.1,Solar Photovoltaic
Lanai Solar-Electric Plant,20.766700,-156.923300,0.1,Solar Photovoltaic
Lanai Solar-Electric Plant,20.766700,-156.923300,0.1,Solar Photovoltaic
Lanai Solar-Electric Plant,20.766700,-156.923300,0.1,Solar Photovoltaic
Lanai Solar-Electric Plant,20.766700,-156.923300,0.1,Solar Photovoltaic
Lanai Solar-Electric Plant,20.766700,-156.923300,0.1,Solar Photovoltaic
Lanai Solar-Electric Plant,20.766700,-156.923300,0.1,Solar Photovoltaic
Pennsauken Solar,39.989400,-75.040000,0.1,Solar Photovoltaic
Pennsauken Solar,39.989400,-75.040000,0.1,Solar Photovoltaic
Pennsauken Solar,39.989400,-75.040000,0.1,Solar Photovoltaic
Caltech Central,34.135800,-118.126700,0.1,Other Waste Biomass
Caltech Central,34.135800,-118.126700,0.1,Other Waste Biomass
Caltech Central,34.135800,-118.126700,0.1,Other Waste Biomass
Caltech Central,34.135800,-118.126700,0.1,Other Waste Biomass
Caltech Central,34.135800,-118.126700,0.1,Other Waste Biomass
Caltech Central,34.135800,-118.126700,0.1,Other Waste Biomass
Caltech Central,34.135800,-118.126700,0.1,Other Waste Biomass
Caltech Central,34.135800,-118.126700,0.1,Other Waste Biomass
Caltech Central,34.135800,-118.126700,0.1,Other Waste Biomass
Caltech Central,34.135800,-118.126700,0.1,Other Waste Biomass
Caltech Central,34.135800,-118.126700,0.1,Other Waste Biomass
DOE Golden NREL Main Campus,39.740896,-105.171000,0.1,Solar Photovoltaic
Mercy Medical Center,40.688333,-73.630830,0.1,Petroleum Liquids
Delta Wind Farm,64.013889,-145.596700,0.1,Onshore Wind Turbine
Baker Creek Hydroelectric,40.526389,-123.725600,0.1,Conventional Hydroelectric
Framingham State University Plant,42.297949,-71.436070,0.1,Petroleum Liquids
Canyon Del Oro High School Solar,32.374000,-110.974000,0.1,Solar Photovoltaic
New York Presbyterian Hospital-168th St,40.840854,-73.941390,0.1,Petroleum Liquids
UL Advanced Wind Turbine Test Facility,34.966012,-101.784100,0.1,Onshore Wind Turbine
Sikorsky Aircraft CHP,41.250009,-73.098650,0.1,Solar Photovoltaic
TAC-Distributed Energy Resource Hybrid,40.089797,-88.243570,0.1,Solar Photovoltaic
TAC-Distributed Energy Resource Hybrid,40.089797,-88.243570,0.1,Onshore Wind Turbine
Kingsbrook Jewish Medical Center,40.659328,-73.933750,0.1,Petroleum Liquids
Albert Einstein College of Medicine,40.851320,-73.848300,0.1,Petroleum Liquids
AZ State University - Tempe Campus Solar,33.424279,-111.928200,0.1,Solar Photovoltaic
AZ State University - Tempe Campus Solar,33.424279,-111.928200,0.1,Solar Photovoltaic
AZ State University - Tempe Campus Solar,33.424279,-111.928200,0.1,Solar Photovoltaic
AZ State University - Tempe Campus Solar,33.424279,-111.928200,0.1,Solar Photovoltaic
AZ State University - Tempe Campus Solar,33.424279,-111.928200,0.1,Solar Photovoltaic
AZ State University - Tempe Campus Solar,33.424279,-111.928200,0.1,Solar Photovoltaic
AZ State University - Tempe Campus Solar,33.424279,-111.928200,0.1,Solar Photovoltaic
Carolina Poultry Power Farmville,35.591719,-77.614510,0.1,Other Waste Biomass
NASA Wallops Flight Facility Solar,37.938056,-75.473610,0.1,Solar Photovoltaic
NASA Wallops Flight Facility Solar,37.938056,-75.473610,0.1,Solar Photovoltaic
NASA Wallops Flight Facility Solar,37.938056,-75.473610,0.1,Solar Photovoltaic
Fordham University,40.861278,-73.887420,0.1,Petroleum Liquids
Fordham University,40.861278,-73.887420,0.1,Petroleum Liquids
Vassar Brothers Medical Center,41.693606,-73.934820,0.1,Petroleum Liquids
St.Joseph's Regional Medical Center,40.902600,-74.165600,0.1,Petroleum Liquids
Skagway,59.454500,-135.313100,0.2,Conventional Hydroelectric
Agua Fria,33.556100,-112.215300,0.2,Solar Photovoltaic
Bushnell,40.548586,-90.513810,0.2,Petroleum Liquids
Bushnell,40.548586,-90.513810,0.2,Petroleum Liquids
Waterloo,38.334786,-90.158940,0.2,Petroleum Liquids
Waterloo,38.334786,-90.158940,0.2,Petroleum Liquids
Last Chance,42.603349,-111.705300,0.2,Conventional Hydroelectric
Anita,41.444224,-94.766470,0.2,Petroleum Liquids
Anita,41.444224,-94.766470,0.2,Petroleum Liquids
