Incident Date,Incident Year,Incident Category,Latitude,Longitude,Types of crime
2023/03/11,2023,Assault,37.77289518,-122.4542851,Violent Crime
2023/03/16,2023,Assault,37.76228997,-122.4013242,Violent Crime
2023/02/02,2023,Disorderly Conduct,37.74982978,-122.4317169,Misdemeanors
2023/02/18,2023,Assault,37.78775665,-122.4201161,Violent Crime
2023/02/02,2023,Lost Property,37.78185329,-122.4521431,Misdemeanors
2023/02/05,2023,Robbery,37.78911017,-122.4170169,Violent Crime
2023/02/03,2023,Robbery,37.71494005,-122.4378053,Violent Crime
2023/08/27,2023,Other,37.80284751,-122.4349726,Other
2023/08/26,2023,Larceny Theft,37.7789458,-122.467354,Felonies
2023/08/26,2023,Larceny Theft,37.75220444,-122.4190175,Felonies
2023/08/27,2023,Other Miscellaneous,37.77172395,-122.4168998,Misdemeanors
2023/08/27,2023,Malicious Mischief,37.70969487,-122.4159559,Misdemeanors
2023/08/23,2023,Other,37.79602475,-122.4066524,Other
2023/08/10,2023,Burglary,37.74822947,-122.4315567,Felonies
2023/08/27,2023,Other Miscellaneous,37.73401387,-122.3909679,Misdemeanors
2023/07/10,2023,Larceny Theft,37.79259308,-122.4194018,Felonies
2023/08/26,2023,Larceny Theft,37.80005155,-122.4344047,Felonies
2023/08/24,2023,Lost Property,37.73001698,-122.3690371,Misdemeanors
2023/08/26,2023,Motor Vehicle Theft,37.76036965,-122.4119266,Felonies
2023/08/26,2023,Assault,37.76929182,-122.4961607,Violent Crime
2023/08/27,2023,Robbery,37.78223057,-122.410292,Violent Crime
2023/08/27,2023,Malicious Mischief,37.80541717,-122.4152415,Misdemeanors
2023/08/26,2023,Burglary,37.75759159,-122.3941071,Felonies
2023/08/26,2023,Burglary,37.78057622,-122.4202555,Felonies
2023/08/05,2023,Larceny Theft,37.79253722,-122.3940596,Felonies
2023/08/27,2023,Burglary,37.77113779,-122.4008043,Felonies
2023/08/27,2023,Offences Against The Family And Children,37.72394755,-122.4406717,Violent Crime
2023/08/20,2023,Fraud,37.75009697,-122.4272775,Felonies
2023/08/27,2023,Robbery,37.78564171,-122.4179963,Violent Crime
2023/08/27,2023,Disorderly Conduct,37.73401387,-122.3909679,Misdemeanors
2023/08/27,2023,Sex Offense,37.79969367,-122.4225252,Violent Crime
2023/08/26,2023,Prostitution,37.75716664,-122.4167196,Misdemeanors
2023/08/27,2023,Larceny Theft,37.80727587,-122.4156164,Felonies
2023/08/27,2023,Larceny Theft,37.73832136,-122.4056467,Felonies
2023/08/26,2023,Forgery And Counterfeiting,37.78216927,-122.4189933,Felonies
2023/08/27,2023,Larceny Theft,37.77139603,-122.5098948,Felonies
2023/08/26,2023,Missing Person,37.72003819,-122.4540962,General Accidents (Not Crimes)
2023/08/27,2023,Burglary,37.78104179,-122.4966282,Felonies
2023/08/26,2023,Weapons Offense,37.71324664,-122.4143698,Violent Crime
2023/08/27,2023,Malicious Mischief,37.78556385,-122.4297826,Misdemeanors
2023/08/21,2023,Fraud,37.76384879,-122.4705951,Felonies
2023/08/27,2023,Warrant,37.78207307,-122.4122207,Misdemeanors
2023/08/26,2023,Missing Person,37.73839876,-122.4228529,General Accidents (Not Crimes)
2023/08/26,2023,Assault,37.7179241,-122.4644399,Violent Crime
2023/08/27,2023,Malicious Mischief,37.77636887,-122.4195063,Misdemeanors
2023/08/24,2023,Motor Vehicle Theft,37.75872233,-122.4460206,Felonies
2023/08/21,2023,Assault,37.78047034,-122.4169476,Violent Crime
2023/08/25,2023,Lost Property,37.74906582,-122.3864279,Misdemeanors
2023/03/01,2023,Larceny Theft,37.75840281,-122.4019566,Felonies
2023/08/27,2023,Assault,37.80112513,-122.4113763,Violent Crime
2023/08/27,2023,Burglary,37.77171724,-122.3985026,Felonies
2023/08/26,2023,Larceny Theft,37.72821056,-122.478698,Felonies
2023/08/24,2023,Burglary,37.76010129,-122.4214252,Felonies
2023/08/27,2023,Assault,37.7849083,-122.4047951,Violent Crime
2023/08/26,2023,Warrant,37.78631022,-122.4164491,Misdemeanors
2023/08/21,2023,Malicious Mischief,37.72182779,-122.4622655,Misdemeanors
2023/08/27,2023,Suspicious Occ,37.79214077,-122.4083639,Misdemeanors
2023/08/27,2023,Larceny Theft,37.80541717,-122.4152415,Felonies
2023/08/22,2023,Fraud,37.7897626,-122.3975745,Felonies
2023/08/27,2023,Malicious Mischief,37.76288986,-122.4285088,Misdemeanors
2023/08/27,2023,Larceny Theft,37.71930936,-122.4388635,Felonies
2023/08/26,2023,Malicious Mischief,37.72171588,-122.3959438,Misdemeanors
2023/08/27,2023,Burglary,37.79356508,-122.4046134,Felonies
2023/08/27,2023,Missing Person,37.80284751,-122.4349726,General Accidents (Not Crimes)
2023/08/27,2023,Motor Vehicle Theft,37.72983387,-122.454072,Felonies
2023/08/25,2023,Larceny Theft,37.78616616,-122.4213734,Felonies
2023/08/26,2023,Miscellaneous Investigation,37.72915975,-122.3924151,Other
2023/08/27,2023,Warrant,37.78829319,-122.4084016,Misdemeanors
2023/08/26,2023,Larceny Theft,37.75313632,-122.4446397,Felonies
2023/08/27,2023,Larceny Theft,37.74110763,-122.3884759,Felonies
2023/08/26,2023,Warrant,37.79214077,-122.4083639,Misdemeanors
2023/08/26,2023,Motor Vehicle Theft,37.73077259,-122.4225,Felonies
2023/08/26,2023,Larceny Theft,37.78582921,-122.4014898,Felonies
2023/08/27,2023,Larceny Theft,37.80569594,-122.4053572,Felonies
2023/08/27,2023,Assault,37.76095474,-122.4339036,Violent Crime
2023/08/27,2023,Larceny Theft,37.80748251,-122.413975,Felonies
2023/08/12,2023,Malicious Mischief,37.79502734,-122.4215828,Misdemeanors
2023/08/27,2023,Other Miscellaneous,37.77172395,-122.4168998,Misdemeanors
2023/08/23,2023,Disorderly Conduct,37.78848786,-122.4371292,Misdemeanors
2023/08/24,2023,Burglary,37.7829892,-122.4633505,Felonies
2023/08/25,2023,Larceny Theft,37.72692568,-122.4309652,Felonies
2023/08/26,2023,Burglary,37.79214077,-122.4083639,Felonies
2023/08/26,2023,Larceny Theft,37.7397947,-122.4255778,Felonies
2023/08/26,2023,Robbery,37.80217473,-122.4106005,Violent Crime
2023/08/27,2023,Stolen Property,37.78000587,-122.4119334,Felonies
2023/08/26,2023,Assault,37.7876636,-122.413354,Violent Crime
2023/08/27,2023,Drug Offense,37.78829319,-122.4084016,Felonies
2023/08/25,2023,Larceny Theft,37.72745693,-122.4144603,Felonies
2023/08/27,2023,Assault,37.76560584,-122.4104867,Violent Crime
